0xE869B2E8, bo4_practice
0x607FEE8, __init__sytem__
0xAD5512EB, __init__
0xB1576288, init_clientfields
0x3315F045, init_flags
0x43959107, init_settings
0x9284135D, init
0x88584A95, on_connect
0x348AF419, on_spawned
0x7555E59, empty_func
0xC22C84DB, detour_f24fd627-43be-49c0-9e15-b70af0b13869
0xF9DF92F, zm_orange_ee_misc
0x7635AFEE, trinket_quest
0x1AEBC30F, detour_35253665-02c6-454e-9a57-0f62cd6c8a19
0x8260C80E, mansion_boss_ww
0xEC420148, detour_57b38a05-7113-4469-98d0-1ffb5cd918dc
0x3D2518B8, detour_b27f7451-4430-4163-b477-6b480cc96ec0
0x2CDDA23D, zm_mansion_get_pap_ghost
0x23DCFA0E, zm_mansion_get_pap_clock
0x37390FB7, zm_mansion_get_pap_vamps
0x2E7F3000, detour_cfad903e-911a-4f64-8c26-c6d3103b6258
0xB8F22955, mansion_pap
0xE94A9574, detour_44507f31-5cbd-45b6-a70a-17cfa726112d
0xCA635B4A, detour_0c168640-7049-46b8-93cc-9a524824b4ed
0xBEFB5768, detour_f4f7c45e-4d13-4f05-afbd-319f824d0433
0x834E6250, zm_utility
0xE51DC2D8, is_ee_enabled
0x94072B1, detour_fd9c684f-5f24-4aeb-8e95-62cd3924ce57
0x4719C045, zm_ai_werewolf
0x75064C7, mini_boss_hud_add
0xD01E00A0, mini_boss_reorder
0x2AB6DED0, mini_boss_hud_damage
0x44BAED4D, mini_boss_hud_death
0x410943D6, add_new_objective
0x28D9F24E, release_obj_on_death
0xE39CAC00, zm_escape_challenge_setup
0xE21BECD5, paschal_step_1
0xCFE54868, paschal_step_2
0xCFC64826, paschal_step_4
0x16AAE569, activate_and_move_pap
0x2A6C1650, zm_escape_quest_init
0x8FA1B98E, zm_escape_practice
0xA5890806, zm_mansion_boss_setup
0x8C67ADCB, monitor_boss_hud
0x2FD30C69, zm_mansion_lamps_setup
0x272E4BE9, greenhouse_lockdown_step_4_lamps
0x8E72A26F, zm_mansion_lockdown_setup
0xE4C1A278, greenhouse_lockdown_step_4
0x4D4FC832, greenhouse_wave_1
0x9CA3DB53, wait_transform_add_obj
0x72B49307, greenhouse_wave_3
0x3EE46AD9, cemetery_lockdown_step_3
0x760136, cemetery_defend
0x7955C350, cemetery_wave_1
0x6EFFAEA4, cemetery_wave_2
0x5CB10A07, cemetery_wave_3
0x4267D575, cemetery_wave_4
0xEACC00E4, forest_lockdown_step_4
0x68A397A0, forest_assault
0xFC800B73, zm_mansion_quest_init
0xBD3D5444, zm_mansion_practice
0xBB65846E, zm_mansion_scratches_init
0xD8B0D82E, zm_mansion_wicker_ghost_init
0xD8AB2758, zm_mansion_ww_lvl3_quest_init
0xC8798B67, zm_zodt8_free_kraken_helper
0x45766156, berths_walk_monitor
0x8DBEBC47, zm_zodt8_practice
0x636BB8BF, init_box_patch
0x160BACEE, init_player_box_override
0x6977F180, custom_box_odds
0x414A84D1, towers_box_reset
0x25CB1BE6, zodt8_box_reset
0x7ABDD4EB, camera_set_position
0xB4E973FF, camera_toggle
0x12D18579, noclip_bind
0x98E56B2F, player_noclip
0xA49C5ED, init_keys
0x90C0B8B4, wait_key_str
0x5A61D4AF, wait_key
0xEAF3C79A, monitor_menu_responses
0x721205C6, perkaholic
0x1F24CE04, activate_perk_slot
0x45490BB0, godmode
0x8A006F06, infinite_ammo
0x8F79D50E, override_quest
0x80AF820A, get_player_by_name
0x9935C80, get_player_by_character_slot
0xA7F66713, craft_parts
0x8753F2B1, zombie_open_sesame
0x89708BDE, goto_round
0xB0923738, zombie_counter_run
0xDAC0824C, register
0x3641C11C, undefined
0xE90FD9B0, system
0x9DE6AA7C, compiler
0x4EB63B8A, gettime
0x9C3BDFFA, level
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0xC4B5765C, clientfield
0x3DEFE655, flag
0xCFF3E691, n_result
0xF1DD3F68, shieldlog
0xCD7DE90A, shieldfromjson
0xE3562CC3, patch_settings
0x99E49F55, isdefined
0x53BBF9D2, get_map_name
0x6BBA65DA, util
0xF42D8C7F, map
0xC787678D, enabled
0x116FCC50, patch
0x65762449, timer
0x1FBDADF5, zombie_counter
0xA070BA11, b_godmode_enabled
0x120BF4E1, b_infinite_ammo_enabled
0x5430BAF1, set
0xAB57F370, exists
0xFF7848D1, wait_till
0xF5B5552C, notify
0x91C81627, 80c529a6-2b49-4ca6-b60d-12d964b39b29
0x9B42093D, endon
0x6B66F156, setdvar
0x6C596CE3, setgametypesetting
0x5C30B391, af5b7c60-0e48-40e7-80ad-739b40e2294e
0xCD639C5A, 8c7c4c37-71f4-4159-8a6a-c704eec41993
0x971BBC30, b5a7e8ed-5e64-4366-8a6a-a8c319b37218
0x7B5EF4DA, istestclient
0xF1CA5EF1, self
0xB9AA4B11, talisman_special_startlv2
0x56F06C19, 42d313ed-0258-4009-9d97-2cd28372371b
0x8003BCC6, set_world_uimodel
0xD38910D5, arg1
0x46E477C6, arg2
0xCFEF4B38, @
0x5839811B, n_stage
0xC18042EA, 17d15313-c8da-4a0f-ae01-e041ff939021
0x2052A3BB, luinotifyevent
0x4A4C1D5B, int
0xD7F18C34, s_boss
0x6198232B, 51511999-3c12-467f-a4aa-d2b53e1e3d20
0x75D80E4E, f2f0bc77-0352-4304-9b82-165fc82b0523
0x4975F1A3, 3428846b-398c-4cde-b98a-eb5fbe695476
0x9AE4CA4E, 7007a48c-9347-45fa-80c3-d0ac038a6feb
0x74408125, player
0xD7E2B54D, a_players
0x7AF438EC, settings
0x60895C83, zm_mansion
0x5E1C830, boss_health_scaling
0x501DF2A9, get_active_players
0x2012C955, min
0x9C7DB714, waittill
0x232F004F, 4972a0f0-de38-4bd8-9a87-1d28c729f527
0x7BF5B607, fe0e912a-3784-4d80-a08b-2168d101f8e7
0x1B9AAD72, 8e6b0f79-dd16-4046-bc7d-24dc587598b7
0x4AAE0D3B, 43b8811c-8c4b-49da-8df2-ee471a59a74f
0x7AFD04DC, ai_nosferatu
0xDD9EDA10, 01b3f6c8-bf9d-43b9-99b4-803bb6073f6d
0xA925C5E4, n_max_active_ai
0xC8E3140A, n_round
0x8196336F, get_array
0xB413418A, struct
0x8302B711, true
0x1C7498E9, randomfloatrange
0x481B983D, getaiteamarray
0x263C04C7, zombie_team
0x4A0F1DFF, wait_network_frame
0x769D7E4F, boss_cleanup_zombie
0x2FA8319F, zm_ai_nosferatu
0x64DE298A, isalive
0xD55AF815, enemy_markers
0x2D7DEF5C, getaiarchetypearray
0xDBC2FA24, get
0xF0FB858A, n_crystal
0x5E4A241D, 6420667d-8ec7-4f8c-9f16-34541778b18a
0xB96023CB, a_trophy_ghosts
0xE506114, a_painting_ghosts
0xE692952E, pap
0x3E72E11A, ghosts
0x13736E63, essex
0xA8FB37D4, shield
0x17B75FFF, strife
0xC2AC2662, scratches
0x35D66C7D, doll
0xE87314A9, noose
0x3BE6EE2C, will
0x479F5412, str_hint
0x6CE0DC7C, random
0x9096AE65, array
0x365D682A, a_clocks
0x25EEC255, clocks
0xFE55026C, billiards
0x73AEA172, dining
0xFB7D78F8, main
0xDBEDF7AC, a_vamps
0xB26D3053, vamp_lockdown
0xCC657018, cemetary
0x60B473D5, greenhouse
0x31C4C16D, ent
0x2589AC55, n_souls_required
0x73D04234, getplayers
0xE439C71A, script_string
0xBCB61858, getent
0xA94C19C1, create
0xAA2255BE, zm_unitrigger
0x65D72EF4, a_str_zones
0xD678CDCB, mdl_key
0xE774E5F4, s_loc
0x48607E17, zm_mansion_sound
0xA46FB584, vol_transform
0x81F75D17, a_mini_bosses
0x452EE761, n_id
0x36DF771A, maxhealth
0xE714C0CB, health
0x4DE83A6D, ai_mini_boss
0x63DF85B2, n_index
0xDE5715C4, arrayremovevalue
0x922B6202, objective
0xAFC874F2, str_waittill
0x4AD93446, get_next_obj_id
0xF68935B9, gameobjects
0x97DF45F3, n_obj_id
0xC8A2070A, objective_state
0xB4BB1FA9, objective_add
0xBB3BD0B3, objective_onentity
0x6D1FFCB2, objective_setstate
0xDD79E9C6, waittill_any_ents
0x6403D8A5, release_obj_id
0x1AB3FF4A, db74f793-276d-41e6-ab26-7717c6ed7a75
0xB5CE984D, bd8b2734-02a3-4b4c-b092-7f5f78fb8d27
0x813884FA, 65e631e8-5f1a-4d1c-b69c-7ce5aa565918
0x6100E5D7, 650f397c-ba02-482d-b75d-f489387133f6
0x5B72F105, 251561a5-9487-4239-b15e-b9ee5b3eaf43
0x7A330F08, d0879747-8420-4db3-b1fd-801040e9dd08
0x88C96F07, 1bd6e474-9404-4502-ad89-7d76b9c47e0c
0x2AF1A48A, 04dfa739-dd36-4a37-9a4e-6096bd364923
0x712F6B5E, f422cad3-dc2a-4c4d-a05b-588fa6a8b98c
0xD0BE5EEB, b3b6c695-8615-4539-a264-f9d346d7a7a0
0xF401CD14, 56e39688-e0f3-48ba-9d9f-ee543f896f2a
0x5873B7B1, c9d2c116-8fad-4a74-8bd5-1349e52578dc
0x8946E9BA, bgb
0xF10356EB, old_bgb_func
0x7992BC61, 87810f73-baf4-4ec9-a406-28e093f633a4
0x5C6773ED, 7800bc1b-e098-4ff6-b4f0-05e433565311
0x21F7A4F3, b40fe392-4edb-4868-8b1f-4b13d37c8e6e
0x6F932E98, 1ccd1742-76e6-487b-83f0-0befebca2cac
0x708F9E96, dog
0x1252B9BD, n_kills_needed
0x8B6557B, round
0xC2D30FED, b8fa8e86-b1e4-460d-bf24-c7f140dab3a7
0xE0BE20DB, d92b5292-0743-4e9c-aa50-fe8d179ce8cf
0x5A43ED6F, a1194c33-04d5-4851-aebb-dbcb50b81cfd
0x4B8A45AF, b784a4cd-813b-4a41-9f89-a391735fce0d
0x9FE758BC, t_catwalk_event
0x9D27E7CA, 7fabf019-c492-45b0-8fcb-440f07c74aeb
0x80C53EC0, ac0fa83c-0a33-4227-8e1d-bd40a2d9cb06
0xF6457A6D, 14326473-d19b-4b66-8065-04a7c5a2687d
0x5A82DDD1, 554bf8c8-bea6-492a-aaff-7f848654ab74
0xC0146081, ai_zombie
0x78D4531, 46a4a855-34b3-424d-84c9-6fb7c907e136
0x7CEF77D4, 8545498b-2cb2-4830-a28e-8e49a3c9f13d
0xE1C4A10E, 4b2d2334-5c96-4f7a-910e-7ad7583ad9e9
0xC0DA7C28, 48e60062-959c-4032-b86b-7595c740030e
0xF2C99E09, weapon
0xCA1F020F, score
0xE466115, zm_perks
0xC70571D8, getweaponslistprimaries
0xF8F78A5F, takeweapon
0xC64E36CE, weapon_give
0xBF7AEA06, getweapon
0x18D600C7, zm_weapons
0x84311E85, gadgetpowerset
0xCC228CB8, giveweapon
0x33D24A0C, clamp
0x6C08393F, math
0xB4A066FF, zm_weap_spectral_shield
0x8D62E0A3, playsound
0x4F723D3C, seteverhadweaponall
0x6342665C, setorigin
0xCD1FC6F5, setplayerangles
0x6637836, freezecontrols
0x8D72F049, val
0xA5E703C4, ishost
0xCF581673, e_who
0x77E6AD71, s_interact
0x332AF800, setslowmotion
0xC0171A06, wait_till_any
0x434B62CD, activator
0x5A43EF31, use
0x1F23C023, trigger
0xD279413D, getentarray
0x8E6F21F1, kill
0x16C816A0, delete
0xC11E58A3, randomintrange
0x23732C48, clear
0xDBD2DBA8, n_total_kills
0x4BA91026, zm_powerups
0x9376487E, n_soul_catchers_charged
0xD16DC65B, is_charged
0x60A296CC, zm_escape_weap_quest
0xE469A133, setmodel
0xCC923D81, activation_func
0x4975DD0E, origin
0x891C9BAC, zm_vo
0x9C4FC2AF, activeplayers
0xF5F8EA4D, delay
0x4A6B9A4C, reset
0x7D0AFFFB, bgb_pack
0x4E41077A, activate_elixir
0x21A3A673, randomintrangeinclusive
0xAEC3446D, dog_enable_rounds
